,snapshot,objective,stores,generators
0,2011-01-01 00:00:00,10,10,10
1,2011-01-01 10:00:00,10,10,10
2,2011-01-01 20:00:00,10,10,10
3,2011-01-02 06:00:00,10,10,10
4,2011-01-02 16:00:00,10,10,10
5,2011-01-03 02:00:00,10,10,10
6,2011-01-03 12:00:00,10,10,10
7,2011-01-03 22:00:00,10,10,10
8,2011-01-04 08:00:00,10,10,10
9,2011-01-04 18:00:00,10,10,10
10,2011-01-05 04:00:00,10,10,10
11,2011-01-05 14:00:00,10,10,10
12,2011-01-06 00:00:00,10,10,10
13,2011-01-06 10:00:00,10,10,10
14,2011-01-06 20:00:00,10,10,10
15,2011-01-07 06:00:00,10,10,10
16,2011-01-07 16:00:00,10,10,10
17,2011-01-08 02:00:00,10,10,10
18,2011-01-08 12:00:00,10,10,10
19,2011-01-08 22:00:00,10,10,10
20,2011-01-09 08:00:00,10,10,10
21,2011-01-09 18:00:00,10,10,10
22,2011-01-10 04:00:00,10,10,10
23,2011-01-10 14:00:00,10,10,10
24,2011-01-11 00:00:00,10,10,10
25,2011-01-11 10:00:00,10,10,10
26,2011-01-11 20:00:00,10,10,10
27,2011-01-12 06:00:00,10,10,10
28,2011-01-12 16:00:00,10,10,10
29,2011-01-13 02:00:00,10,10,10
30,2011-01-13 12:00:00,10,10,10
31,2011-01-13 22:00:00,10,10,10
32,2011-01-14 08:00:00,10,10,10
33,2011-01-14 18:00:00,10,10,10
34,2011-01-15 04:00:00,10,10,10
35,2011-01-15 14:00:00,10,10,10
36,2011-01-16 00:00:00,10,10,10
37,2011-01-16 10:00:00,10,10,10
38,2011-01-16 20:00:00,10,10,10
39,2011-01-17 06:00:00,10,10,10
40,2011-01-17 16:00:00,10,10,10
41,2011-01-18 02:00:00,10,10,10
42,2011-01-18 12:00:00,10,10,10
43,2011-01-18 22:00:00,10,10,10
44,2011-01-19 08:00:00,10,10,10
45,2011-01-19 18:00:00,10,10,10
46,2011-01-20 04:00:00,10,10,10
47,2011-01-20 14:00:00,10,10,10
48,2011-01-21 00:00:00,10,10,10
49,2011-01-21 10:00:00,10,10,10
