name,scn_name,bus,type,carrier,p_set
0 AC,eGon2035,0,,AC,0.0
1 AC,eGon2035,1,,AC,0.0
2 AC,eGon2035,2,,AC,0.0
3 AC,eGon2035,3,,AC,0.0
4 AC,eGon2035,4,,AC,0.0
43761 AC,eGon2035,43761,,AC,0.0
43761 H2_for_industry,eGon2035,43761,,H2_for_industry,415.02148427083335
43762 AC,eGon2035,43762,,AC,0.0
43762 H2_for_industry,eGon2035,43762,,H2_for_industry,1598.13083625
43763 AC,eGon2035,43763,,AC,0.0
43764 AC,eGon2035,43764,,AC,0.0
43764 H2_for_industry,eGon2035,43764,,H2_for_industry,517.5741359166666
43765 AC,eGon2035,43765,,AC,0.0
43765 H2_for_industry,eGon2035,43765,,H2_for_industry,764.9263341666666
43766 AC,eGon2035,43766,,AC,0.0
43766 H2_for_industry,eGon2035,43766,,H2_for_industry,764.9263341666666
43767 AC,eGon2035,43767,,AC,0.0
43767 H2_for_industry,eGon2035,43767,,H2_for_industry,1651.7463891666666
43768 AC,eGon2035,43768,,AC,0.0
43768 H2_for_industry,eGon2035,43768,,H2_for_industry,863.4360502083332
43769 AC,eGon2035,43769,,AC,0.0
43769 H2_for_industry,eGon2035,43769,,H2_for_industry,863.4360502083332
43770 AC,eGon2035,43770,,AC,0.0
43771 AC,eGon2035,43771,,AC,0.0
43771 H2_for_industry,eGon2035,43771,,H2_for_industry,1694.1099472916665
43772 AC,eGon2035,43772,,AC,0.0
43773 AC,eGon2035,43773,,AC,0.0
43773 H2_for_industry,eGon2035,43773,,H2_for_industry,609.9109516041666
43774 AC,eGon2035,43774,,AC,0.0
43774 H2_for_industry,eGon2035,43774,,H2_for_industry,1201.6882454166666
48623 CH4,eGon2035,48623,,CH4,0.0
48624 CH4,eGon2035,48624,,CH4,0.0
48625 CH4,eGon2035,48625,,CH4,0.0
48626 CH4,eGon2035,48626,,CH4,0.0
48627 CH4,eGon2035,48627,,CH4,0.0
48628 CH4,eGon2035,48628,,CH4,0.0
48629 CH4,eGon2035,48629,,CH4,0.0
48630 CH4,eGon2035,48630,,CH4,0.0
48631 CH4,eGon2035,48631,,CH4,0.0
48632 CH4,eGon2035,48632,,CH4,0.0
48633 CH4,eGon2035,48633,,CH4,0.0
48634 CH4,eGon2035,48634,,CH4,0.0
49887 central_heat,eGon2035,49887,,central_heat,0.0
5 AC,eGon2035,5,,AC,0.0
50660 central_heat,eGon2035,50660,,central_heat,0.0
50734 central_heat,eGon2035,50734,,central_heat,0.0
50981 central_heat,eGon2035,50981,,central_heat,0.0
51723 central_heat,eGon2035,51723,,central_heat,0.0
52023 rural_heat,eGon2035,52023,,rural_heat,0.0
52025 rural_heat,eGon2035,52025,,rural_heat,0.0
52027 rural_heat,eGon2035,52027,,rural_heat,0.0
52028 rural_heat,eGon2035,52028,,rural_heat,0.0
52030 rural_heat,eGon2035,52030,,rural_heat,0.0
52038 rural_heat,eGon2035,52038,,rural_heat,0.0
69893 land transport EV,eGon2035,69893,,land transport EV,0.0
69895 land transport EV,eGon2035,69895,,land transport EV,0.0
69898 land transport EV,eGon2035,69898,,land transport EV,0.0
69900 land transport EV,eGon2035,69900,,land transport EV,0.0
69906 land transport EV,eGon2035,69906,,land transport EV,0.0
69909 land transport EV,eGon2035,69909,,land transport EV,0.0
77600 O2,eGon2035,77600,O2,O2,3.406
77601 O2,eGon2035,77601,O2,O2,1.503
81398 CH4_for_industry,eGon2035,81398,,CH4_for_industry,0.0
81398 rural_gas_boiler,eGon2035,81398,,rural_gas_boiler,0.0
81399 CH4_for_industry,eGon2035,81399,,CH4_for_industry,0.0
81399 rural_gas_boiler,eGon2035,81399,,rural_gas_boiler,0.0
81400 CH4_for_industry,eGon2035,81400,,CH4_for_industry,0.0
81400 rural_gas_boiler,eGon2035,81400,,rural_gas_boiler,0.0
81401 CH4_for_industry,eGon2035,81401,,CH4_for_industry,0.0
81401 rural_gas_boiler,eGon2035,81401,,rural_gas_boiler,0.0
81402 CH4_for_industry,eGon2035,81402,,CH4_for_industry,0.0
81402 rural_gas_boiler,eGon2035,81402,,rural_gas_boiler,0.0
81403 CH4_for_industry,eGon2035,81403,,CH4_for_industry,0.0
81403 rural_gas_boiler,eGon2035,81403,,rural_gas_boiler,0.0
81404 CH4_for_industry,eGon2035,81404,,CH4_for_industry,0.0
81404 rural_gas_boiler,eGon2035,81404,,rural_gas_boiler,0.0
81418 H2_for_industry,eGon2035,81418,,H2_for_industry,0.0
81418 H2_hgv_load,eGon2035,81418,,H2_hgv_load,0.0
81419 H2_for_industry,eGon2035,81419,,H2_for_industry,0.0
81419 H2_hgv_load,eGon2035,81419,,H2_hgv_load,0.0
81420 H2_for_industry,eGon2035,81420,,H2_for_industry,0.0
81420 H2_hgv_load,eGon2035,81420,,H2_hgv_load,0.0
81421 H2_for_industry,eGon2035,81421,,H2_for_industry,0.0
81421 H2_hgv_load,eGon2035,81421,,H2_hgv_load,0.0
81422 H2_for_industry,eGon2035,81422,,H2_for_industry,0.0
81422 H2_hgv_load,eGon2035,81422,,H2_hgv_load,0.0
81423 H2_for_industry,eGon2035,81423,,H2_for_industry,0.0
81423 H2_hgv_load,eGon2035,81423,,H2_hgv_load,0.0
81424 H2_for_industry,eGon2035,81424,,H2_for_industry,0.0
81424 H2_hgv_load,eGon2035,81424,,H2_hgv_load,0.0
81425 central_heat,eGon2035,81425,,central_heat,0.0
81426 central_heat,eGon2035,81426,,central_heat,0.0
81427 central_heat,eGon2035,81427,,central_heat,0.0
81429 central_heat,eGon2035,81429,,central_heat,0.0
81430 central_heat,eGon2035,81430,,central_heat,0.0
81431 central_heat,eGon2035,81431,,central_heat,0.0
81432 central_heat,eGon2035,81432,,central_heat,0.0
81433 central_heat,eGon2035,81433,,central_heat,0.0
81434 central_heat,eGon2035,81434,,central_heat,0.0
81437 central_heat,eGon2035,81437,,central_heat,0.0
81438 central_heat,eGon2035,81438,,central_heat,0.0
81439 central_heat,eGon2035,81439,,central_heat,0.0
81440 central_heat,eGon2035,81440,,central_heat,0.0
81441 central_heat,eGon2035,81441,,central_heat,0.0
81442 central_heat,eGon2035,81442,,central_heat,0.0
81444 central_heat,eGon2035,81444,,central_heat,0.0
81445 central_heat,eGon2035,81445,,central_heat,0.0
81446 central_heat,eGon2035,81446,,central_heat,0.0
81447 central_heat,eGon2035,81447,,central_heat,0.0
81448 central_heat,eGon2035,81448,,central_heat,0.0
81449 central_heat,eGon2035,81449,,central_heat,0.0
81451 central_heat,eGon2035,81451,,central_heat,0.0
